                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6673,                 3.3626,                 2.5132,                0.26794,                0.21201,                0.10408,                0.02224,                 3.0609,                 3.2539,                 3.3472,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 2.5337,                 3.3639,                 2.5281,                0.07203,                0.23864,                0.11079,                0.02387,                 3.0608,                 3.3238,                 3.3859,              5.544e-05,              5.544e-05,              5.544e-05
                      3,                 2.4833,                 3.2874,                 2.4328,                0.61281,                0.31081,                  0.261,                0.09858,                 1.8282,                 4.0328,                  1.486,             8.8528e-05,             8.8528e-05,             8.8528e-05
                      4,                 1.5957,                 2.3711,                 1.3675,                0.46974,                0.70905,                 0.4891,                0.19539,                 1.8334,                 3.2456,                 1.4789,             0.00012148,             0.00012148,             0.00012148
                      5,                 1.4011,                 1.6675,                 1.2321,                0.43906,                0.79401,                0.62039,                0.26473,                 1.8988,                  2.872,                 1.5665,             0.00015431,             0.00015431,             0.00015431
                      6,                 1.2623,                 1.3965,                 1.1779,                 0.4448,                0.95934,                0.81585,                0.35078,                 1.9913,                 3.0352,                  1.706,               0.000187,               0.000187,               0.000187
                      7,                 1.3087,                  1.375,                 1.1894,                 0.6639,                 0.8238,                 0.9217,                 0.4402,                 1.7554,                 2.2763,                 1.5324,             0.00021956,             0.00021956,             0.00021956
                      8,                 1.2808,                  1.141,                 1.2001,                0.71593,                0.78104,                0.91222,                0.41833,                 1.9113,                 2.4325,                 1.7729,             0.00025199,             0.00025199,             0.00025199
                      9,                 1.1552,                 1.0582,                 1.1111,                0.71599,                 0.8819,                0.87309,                0.51332,                 1.5265,                 1.8607,                 1.4592,             0.00028428,             0.00028428,             0.00028428
                     10,                 1.3141,                0.99302,                  1.148,                0.62601,                0.76964,                0.74241,                0.42544,                 1.6198,                 2.5533,                 1.4911,             0.00031645,             0.00031645,             0.00031645
                     11,                 1.2461,                0.89913,                 1.1627,                0.65398,                0.85284,                0.86559,                0.51478,                 1.5319,                 3.1963,                 1.3813,             0.00034848,             0.00034848,             0.00034848
                     12,                 1.1898,                0.90434,                 1.1603,                0.56999,                0.80224,                0.71403,                 0.4075,                 1.6759,                 3.2593,                 1.5354,             0.00038038,             0.00038038,             0.00038038
                     13,                 1.2765,                 1.0108,                 1.1832,                0.88032,                0.93427,                0.92287,                0.51594,                 1.6689,                 1.7402,                 1.5257,             0.00041215,             0.00041215,             0.00041215
                     14,                  1.251,                0.81731,                 1.1373,                0.94734,                0.99827,                  0.983,                0.63838,                 1.3496,                  1.145,                  1.255,             0.00044379,             0.00044379,             0.00044379
                     15,                 1.4047,                0.94094,                 1.1934,                0.84353,                 0.8583,                0.86234,                 0.5512,                 1.3987,                 1.3724,                 1.3014,             0.00047529,             0.00047529,             0.00047529
                     16,                 1.2609,                0.81573,                  1.142,                0.78412,                0.70473,                0.77439,                0.43048,                 1.7623,                 1.7565,                 1.5074,             0.00050666,             0.00050666,             0.00050666
                     17,                 1.3423,                0.88984,                 1.2358,                0.71555,                0.85267,                0.81988,                0.45278,                 1.6184,                 1.4242,                 1.4379,              0.0005379,              0.0005379,              0.0005379
                     18,                 1.2772,                 0.8755,                 1.1201,                0.86125,                0.91294,                0.94238,                0.50189,                 1.6567,                 1.2517,                 1.4838,             0.00056901,             0.00056901,             0.00056901
                     19,                 1.3248,                 0.7506,                 1.2297,                0.82254,                0.92615,                0.97162,                0.57238,                 1.4872,                 1.2344,                  1.377,             0.00059999,             0.00059999,             0.00059999
                     20,                 1.2301,                0.78033,                 1.1276,                0.81075,                0.81996,                0.96605,                0.53914,                 1.5599,                 1.4023,                 1.4377,             0.00063083,             0.00063083,             0.00063083
                     21,                 1.2455,                0.67276,                 1.1471,                0.66957,                0.79499,                0.85927,                 0.4952,                 1.5299,                 1.5891,                 1.3925,             0.00066154,             0.00066154,             0.00066154
                     22,                 1.1347,                 0.6642,                 1.0968,                 0.9337,                 0.8099,                0.94101,                0.60604,                 1.2913,                0.94321,                 1.2381,             0.00069212,             0.00069212,             0.00069212
