                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.409,                0.92283,                 1.2288,                0.72518,                0.57287,                0.66606,                0.46857,                 1.1045,                 5.3465,                 1.1757,             0.00099001,             0.00099001,             0.00099001
                     35,                  1.441,                0.87071,                 1.2559,                0.78241,                0.75106,                0.89956,                0.58321,                 1.3572,                 2.4281,                 1.3107,             0.00099001,             0.00099001,             0.00099001
                     36,                  1.221,                0.79733,                 1.1371,                0.67397,                0.77072,                0.86994,                0.40277,                 1.8427,                 1.9097,                 1.6674,             0.00098635,             0.00098635,             0.00098635
                     37,                 1.3299,                 0.8832,                 1.2084,                0.67397,                0.77072,                0.86994,                0.40277,                 1.8427,                 1.9097,                 1.6674,             0.00098268,             0.00098268,             0.00098268
                     38,                 1.3629,                0.86982,                    1.2,                0.69379,                0.65696,                0.73258,                0.30663,                 1.9801,                 2.4737,                 1.8114,             0.00097901,             0.00097901,             0.00097901
                     39,                 1.3703,                0.85733,                 1.2249,                0.51399,                0.69191,                0.65577,                0.36413,                 1.6596,                 2.9853,                 1.5714,             0.00097535,             0.00097535,             0.00097535
                     40,                  1.246,                0.81657,                 1.2183,                 0.8338,                0.81344,                0.89161,                0.58227,                 1.3196,                 1.3709,                 1.3236,             0.00097168,             0.00097168,             0.00097168
                     41,                 1.2296,                 0.6871,                 1.1644,                 0.8338,                0.81344,                0.89161,                0.58227,                 1.3196,                 1.3709,                 1.3236,             0.00096801,             0.00096801,             0.00096801
                     42,                  1.254,                0.69598,                 1.1541,                0.67584,                0.87298,                0.80006,                0.51532,                 1.3339,                 4.0466,                 1.3199,             0.00096435,             0.00096435,             0.00096435
                     43,                 1.2081,                0.66711,                 1.1121,                0.75157,                 0.9477,                0.85054,                0.49956,                 1.4771,                 7.2245,                 1.4469,             0.00096068,             0.00096068,             0.00096068
                     44,                 1.2447,                0.67759,                 1.1486,                0.73711,                0.87111,                0.79804,                0.45676,                 1.6282,                 3.0316,                 1.5953,             0.00095702,             0.00095702,             0.00095702
                     45,                 1.2283,                0.66783,                 1.1382,                0.73711,                0.87111,                0.79804,                0.45676,                 1.6282,                 3.0316,                 1.5953,             0.00095335,             0.00095335,             0.00095335
                     46,                  1.128,                0.62111,                 1.1171,                0.90144,                0.83383,                0.90653,                0.48768,                 1.5565,                   1.24,                 1.4792,             0.00094968,             0.00094968,             0.00094968
                     47,                 1.2204,                 0.6902,                 1.1484,                0.84444,                0.72741,                0.85162,                0.48612,                 1.5748,                 1.5391,                 1.4745,             0.00094602,             0.00094602,             0.00094602
                     48,                 1.2643,                0.73447,                 1.1994,                0.94801,                0.87283,                0.95501,                0.58789,                 1.3731,                0.83493,                 1.2683,             0.00094235,             0.00094235,             0.00094235
                     49,                 1.1953,                0.69201,                  1.168,                0.94801,                0.87283,                0.95501,                0.58789,                 1.3731,                0.83493,                 1.2683,             0.00093868,             0.00093868,             0.00093868
                     50,                 1.3288,                 0.7311,                 1.1596,                0.93159,                0.82232,                0.94846,                0.60602,                 1.2836,                0.96256,                  1.239,             0.00093502,             0.00093502,             0.00093502
                     51,                 1.4213,                0.72578,                 1.2625,                0.89518,                0.94761,                0.96991,                0.64448,                 1.2732,                0.78037,                 1.2134,             0.00093135,             0.00093135,             0.00093135
                     52,                 1.2225,                0.66674,                 1.1265,                0.91838,                 0.9769,                0.98478,                 0.6563,                 1.3071,                0.65936,                 1.2266,             0.00092769,             0.00092769,             0.00092769
                     53,                 1.1486,                0.62137,                 1.0802,                0.91838,                 0.9769,                0.98478,                 0.6563,                 1.3071,                0.65936,                 1.2266,             0.00092402,             0.00092402,             0.00092402
                     54,                  1.328,                0.71774,                 1.1477,                0.88494,                0.95484,                  0.955,                0.57434,                 1.5639,                0.78696,                 1.3929,             0.00092035,             0.00092035,             0.00092035
                     55,                 1.2695,                0.69726,                 1.2101,                0.98547,                      1,                  0.995,                0.57572,                 1.6485,                0.61668,                 1.4599,             0.00091669,             0.00091669,             0.00091669
                     56,                 1.2662,                0.72265,                 1.1504,                0.95127,                0.95662,                  0.988,                0.56097,                 1.6259,                0.65509,                 1.5627,             0.00091302,             0.00091302,             0.00091302
                     57,                 1.3228,                0.70207,                 1.1926,                0.95127,                0.95662,                  0.988,                0.56097,                 1.6259,                0.65509,                 1.5627,             0.00090935,             0.00090935,             0.00090935
                     58,                 1.1718,                0.67219,                 1.1357,                0.86037,                0.84711,                0.93679,                0.55105,                 1.6117,                 0.9611,                  1.518,             0.00090569,             0.00090569,             0.00090569
                     59,                 1.1927,                0.69861,                 1.1435,                0.94273,                0.94344,                0.99233,                0.63303,                 1.3714,                0.64404,                 1.2986,             0.00090202,             0.00090202,             0.00090202
                     60,                 1.2288,                 0.7285,                  1.135,                0.92146,                0.94725,                 0.9935,                0.63707,                 1.3691,                0.69263,                 1.2643,             0.00089835,             0.00089835,             0.00089835
