                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6673,                 3.3626,                 2.5132,                0.26794,                0.21201,                0.10408,                0.02224,                 3.0609,                 3.2539,                 3.3472,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 2.5337,                 3.3639,                 2.5281,                0.07203,                0.23864,                0.11079,                0.02387,                 3.0608,                 3.3238,                 3.3859,             5.5481e-05,             5.5481e-05,             5.5481e-05
                      3,                  2.483,                 3.2886,                  2.432,                0.58847,                0.29126,                0.23261,                0.09259,                 1.8084,                 4.0609,                 1.5035,              8.866e-05,              8.866e-05,              8.866e-05
                      4,                 1.5928,                 2.3368,                 1.3723,                 0.4803,                0.68095,                0.52374,                0.21804,                 1.8263,                 3.0203,                 1.4809,             0.00012176,             0.00012176,             0.00012176
                      5,                 1.3858,                 1.6732,                 1.2186,                0.60831,                 0.6972,                0.62236,                0.27972,                 1.7559,                 3.7631,                 1.4774,             0.00015477,             0.00015477,             0.00015477
                      6,                  1.238,                 1.4167,                 1.1599,                0.67784,                0.72153,                0.88694,                0.42194,                 1.7202,                 3.6075,                 1.5097,              0.0001877,              0.0001877,              0.0001877
                      7,                 1.3044,                 1.3538,                 1.1974,                 0.7195,                0.76759,                0.88345,                0.47705,                  1.562,                 2.2528,                 1.3716,             0.00022055,             0.00022055,             0.00022055
                      8,                 1.3023,                 1.0783,                 1.1871,                0.71262,                0.80043,                0.85242,                0.46006,                   1.65,                   2.36,                 1.4816,             0.00025332,             0.00025332,             0.00025332
                      9,                 1.1515,                0.93366,                 1.1023,                0.56442,                0.89651,                 0.7003,                0.42214,                 1.4983,                 3.3004,                 1.3651,               0.000286,               0.000286,               0.000286
                     10,                 1.2834,                  1.049,                 1.1272,                0.58099,                0.87701,                0.65614,                0.39564,                 1.5265,                 4.5744,                 1.3701,              0.0003186,              0.0003186,              0.0003186
                     11,                 1.2498,                0.85507,                 1.1502,                0.69533,                0.89734,                0.81038,                0.46679,                 1.6432,                 2.5837,                 1.4515,             0.00035112,             0.00035112,             0.00035112
                     12,                 1.2325,                0.90007,                 1.1579,                0.74881,                 0.8147,                 0.8441,                0.48394,                  1.667,                 2.0484,                 1.5087,             0.00038356,             0.00038356,             0.00038356
                     13,                  1.281,                0.98888,                  1.152,                0.96789,                0.98667,                0.96833,                0.55169,                 1.6302,                 1.1852,                 1.5128,             0.00041591,             0.00041591,             0.00041591
                     14,                 1.2691,                 0.7858,                 1.1288,                0.98707,                      1,                  0.995,                0.62751,                 1.3622,                 1.0295,                 1.2525,             0.00044818,             0.00044818,             0.00044818
                     15,                 1.4032,                0.93714,                 1.2084,                0.92396,                0.92938,                0.94511,                0.59897,                 1.4099,                0.90436,                 1.3007,             0.00048037,             0.00048037,             0.00048037
                     16,                 1.2513,                0.80322,                 1.1311,                0.86859,                0.93748,                0.92959,                0.49213,                 1.7539,                 1.3829,                  1.609,             0.00051248,             0.00051248,             0.00051248
                     17,                 1.3622,                 1.0463,                  1.257,                0.83123,                0.91857,                0.95644,                0.54216,                 1.6786,                 1.1128,                 1.4473,              0.0005445,              0.0005445,              0.0005445
