                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6673,                 3.3626,                 2.5132,                0.26794,                0.21201,                0.10408,                0.02224,                 3.0609,                 3.2539,                 3.3472,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 2.5337,                 3.3639,                 2.5281,                0.07203,                0.23864,                0.11079,                0.02387,                 3.0608,                 3.3238,                 3.3859,             5.5532e-05,             5.5532e-05,             5.5532e-05
                      3,                 2.4831,                 3.2882,                 2.4327,                0.58325,                0.29585,                0.23769,                  0.095,                 1.7993,                 4.0813,                 1.4932,             8.8821e-05,             8.8821e-05,             8.8821e-05
                      4,                 1.5899,                 2.3611,                 1.3727,                0.44175,                0.68653,                 0.5205,                0.19451,                 1.8379,                 3.1559,                 1.5057,             0.00012209,             0.00012209,             0.00012209
                      5,                  1.383,                  1.664,                 1.2246,                0.46741,                0.85414,                0.68032,                0.32306,                  1.778,                 2.9603,                 1.4754,             0.00015533,             0.00015533,             0.00015533
                      6,                 1.2595,                 1.4435,                  1.178,                0.74855,                0.79675,                0.90197,                0.41793,                 1.7557,                 2.1741,                 1.5183,             0.00018856,             0.00018856,             0.00018856
                      7,                 1.2891,                 1.3876,                 1.1782,                0.61076,                0.78691,                0.79707,                0.44833,                 1.5965,                 2.4403,                 1.3988,             0.00022176,             0.00022176,             0.00022176
                      8,                 1.2426,                 1.1003,                 1.1544,                0.65653,                 0.8102,                0.91815,                0.48131,                 1.7607,                   2.72,                 1.5794,             0.00025494,             0.00025494,             0.00025494
                      9,                 1.1778,                 1.0356,                 1.1164,                0.76659,                 0.8781,                0.88238,                  0.544,                 1.4779,                 1.4342,                 1.3501,              0.0002881,              0.0002881,              0.0002881
                     10,                 1.3319,                 1.0858,                 1.1468,                0.79281,                 0.9134,                0.92489,                0.58982,                 1.3598,                  1.347,                 1.2493,             0.00032123,             0.00032123,             0.00032123
                     11,                 1.2443,                0.90336,                 1.1387,                 0.8142,                0.98059,                0.96007,                0.58415,                 1.4953,                 2.2444,                 1.3221,             0.00035435,             0.00035435,             0.00035435
                     12,                 1.2654,                0.93854,                 1.1922,                0.82566,                0.98989,                0.95441,                0.52391,                 1.7128,                 2.7022,                 1.5316,             0.00038744,             0.00038744,             0.00038744
                     13,                 1.3141,                0.92174,                 1.1844,                0.74251,                0.93333,                 0.9084,                0.55047,                 1.5342,                 2.2469,                 1.3841,             0.00042051,             0.00042051,             0.00042051
                     14,                 1.2378,                0.75451,                 1.1114,                 0.7445,                0.98667,                0.84937,                0.57489,                 1.2392,                 2.7928,                 1.1723,             0.00045356,             0.00045356,             0.00045356
                     15,                 1.3554,                0.95678,                 1.1797,                 0.6584,                0.91855,                0.69784,                0.45442,                 1.2862,                 3.3661,                 1.2298,             0.00048658,             0.00048658,             0.00048658
                     16,                 1.2671,                0.82438,                 1.1298,                0.76448,                0.83557,                0.86542,                0.54375,                 1.4199,                 2.1179,                 1.3305,             0.00051959,             0.00051959,             0.00051959
                     17,                 1.3148,                0.90392,                  1.205,                0.69746,                0.86764,                0.82701,                0.50331,                 1.4826,                   1.51,                 1.3656,             0.00055257,             0.00055257,             0.00055257
                     18,                 1.2724,                0.89364,                 1.1271,                0.75633,                0.96677,                0.91713,                0.49948,                 1.6464,                 1.2761,                 1.4852,             0.00058553,             0.00058553,             0.00058553
                     19,                 1.4106,                0.83686,                 1.2907,                0.88205,                0.96348,                0.95133,                0.57226,                 1.4719,                0.99651,                  1.339,             0.00061846,             0.00061846,             0.00061846
                     20,                 1.3007,                0.84497,                 1.1565,                0.79959,                0.93876,                0.95715,                0.62374,                 1.3713,                 1.3099,                 1.2829,             0.00065138,             0.00065138,             0.00065138
                     21,                 1.3961,                0.84651,                 1.1957,                0.77516,                 0.9276,                0.94535,                 0.6178,                 1.3241,                 1.0593,                 1.2385,             0.00068427,             0.00068427,             0.00068427
                     22,                 1.2745,                0.73855,                 1.1281,                0.81418,                0.90019,                0.87966,                0.52423,                 1.4787,                 1.5751,                 1.3473,             0.00071715,             0.00071715,             0.00071715
                     23,                 1.1971,                0.89903,                   1.14,                 0.8995,                0.85474,                0.89055,                0.47398,                 1.6862,                  1.254,                 1.5251,                0.00075,                0.00075,                0.00075
                     24,                 1.3501,                0.80976,                 1.2159,                0.75143,                 0.8263,                0.80673,                0.45737,                 1.6154,                 1.6344,                 1.4793,             0.00078282,             0.00078282,             0.00078282
                     25,                 1.2761,                0.94465,                 1.1387,                0.76922,                0.67224,                0.77436,                0.46054,                 1.5887,                 1.8121,                 1.4006,             0.00081563,             0.00081563,             0.00081563
                     26,                 1.2368,                 0.7647,                 1.1028,                0.87303,                0.82647,                0.88107,                0.52359,                 1.6177,                 2.0926,                 1.4687,             0.00084841,             0.00084841,             0.00084841
                     27,                  1.275,                0.69888,                 1.1171,                0.90915,                0.80921,                0.88895,                0.54283,                 1.5617,                 1.6886,                 1.3977,             0.00088117,             0.00088117,             0.00088117
                     28,                 1.1577,                0.68349,                  1.097,                0.97103,                0.67255,                0.71275,                0.41385,                 1.8559,                  1.551,                 1.7403,             0.00091391,             0.00091391,             0.00091391
                     29,                 1.2106,                0.67775,                  1.075,                0.97103,                0.67255,                0.71275,                0.41385,                 1.8559,                  1.551,                 1.7403,             0.00094663,             0.00094663,             0.00094663
                     30,                  1.195,                0.69205,                  1.086,                0.95434,                0.59134,                0.67174,                0.37473,                 1.8897,                 1.4454,                 1.8211,             0.00097933,             0.00097933,             0.00097933
                     31,                 1.2153,                0.75757,                 1.1269,                0.89636,                0.58317,                 0.6061,                0.35951,                 1.8037,                 1.5347,                 1.6323,               0.001012,               0.001012,               0.001012
                     32,                  1.216,                0.80198,                 1.1867,                0.30174,                0.28364,                0.17044,                0.11022,                 2.1803,                 17.084,                 2.3353,              0.0010447,              0.0010447,              0.0010447
                     33,                  1.355,                0.81945,                 1.1481,                0.30174,                0.28364,                0.17044,                0.11022,                 2.1803,                 17.084,                 2.3353,              0.0010773,              0.0010773,              0.0010773
                     34,                 1.2742,                0.77391,                 1.1663,                0.23447,                 0.2819,                0.14281,                0.09309,                 1.9698,                  36.05,                 2.1778,              0.0010989,              0.0010989,              0.0010989
                     35,                 1.3631,                0.76046,                 1.2561,                0.67235,                0.62497,                0.51999,                0.30113,                 1.8166,                 4.6498,                 1.7719,              0.0010989,              0.0010989,              0.0010989
                     36,                 1.2618,                0.79303,                 1.1667,                0.56267,                0.69344,                0.67844,                0.38167,                 1.7764,                 2.3252,                 1.5932,              0.0010985,              0.0010985,              0.0010985
                     37,                 1.2546,                0.85484,                 1.1431,                0.56267,                0.69344,                0.67844,                0.38167,                 1.7764,                 2.3252,                 1.5932,              0.0010982,              0.0010982,              0.0010982
                     38,                 1.1742,                0.73689,                 1.0707,                0.79119,                0.84303,                0.88206,                0.50727,                 1.6319,                 1.2541,                  1.439,              0.0010978,              0.0010978,              0.0010978
                     39,                 1.2645,                0.77673,                 1.1215,                0.84536,                0.87333,                0.90725,                 0.5331,                 1.4811,                 1.0594,                 1.3724,              0.0010974,              0.0010974,              0.0010974
                     40,                 1.2782,                0.78231,                 1.1671,                 0.8429,                0.91671,                0.95019,                0.62515,                 1.2415,                0.86998,                 1.1978,              0.0010971,              0.0010971,              0.0010971
                     41,                  1.275,                0.87804,                 1.1806,                 0.8429,                0.91671,                0.95019,                0.62515,                 1.2415,                0.86998,                 1.1978,              0.0010967,              0.0010967,              0.0010967
                     42,                  1.291,                0.75063,                 1.1563,                0.84936,                0.95939,                0.97633,                0.62986,                 1.2588,                0.95497,                 1.1974,              0.0010963,              0.0010963,              0.0010963
                     43,                 1.1899,                0.73554,                 1.1012,                 0.9457,                0.96754,                0.96367,                0.55206,                 1.5426,                0.97888,                 1.4071,               0.001096,               0.001096,               0.001096
                     44,                  1.307,                0.93017,                 1.1695,                0.86675,                0.95142,                0.88584,                0.45825,                 1.6832,                   1.29,                  1.551,              0.0010956,              0.0010956,              0.0010956
                     45,                 1.2775,                0.70564,                 1.1646,                0.86675,                0.95142,                0.88584,                0.45825,                 1.6832,                   1.29,                  1.551,              0.0010952,              0.0010952,              0.0010952
                     46,                 1.1505,                0.65937,                 1.1155,                0.97246,                      1,                  0.995,                0.64465,                 1.3872,                0.81718,                 1.2966,              0.0010949,              0.0010949,              0.0010949
                     47,                 1.1929,                0.73734,                 1.1075,                0.94581,                0.98049,                  0.987,                0.66253,                 1.2656,                0.78145,                   1.21,              0.0010945,              0.0010945,              0.0010945
                     48,                 1.2241,                0.66872,                 1.1571,                0.89794,                0.91197,                0.93918,                0.61089,                 1.2762,                0.82503,                 1.1872,              0.0010941,              0.0010941,              0.0010941
                     49,                 1.2313,                0.77872,                 1.1609,                0.89794,                0.91197,                0.93918,                0.61089,                 1.2762,                0.82503,                 1.1872,              0.0010938,              0.0010938,              0.0010938
                     50,                  1.331,                0.78503,                 1.1284,                0.93395,                0.95217,                 0.9875,                0.59179,                 1.4027,                0.72627,                 1.2971,              0.0010934,              0.0010934,              0.0010934
                     51,                 1.4023,                0.82561,                 1.2277,                0.86693,                0.92318,                0.95468,                0.57704,                 1.4212,                0.86861,                 1.3034,               0.001093,               0.001093,               0.001093
                     52,                 1.2441,                0.67971,                 1.1126,                0.83323,                0.86718,                0.96538,                 0.6473,                 1.2462,                0.94253,                 1.1867,              0.0010927,              0.0010927,              0.0010927
                     53,                 1.2195,                0.69054,                 1.0964,                0.83323,                0.86718,                0.96538,                 0.6473,                 1.2462,                0.94253,                 1.1867,              0.0010923,              0.0010923,              0.0010923
