                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6673,                 3.3626,                 2.5132,                0.26794,                0.21201,                0.10408,                0.02224,                 3.0609,                 3.2539,                 3.3472,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 2.5337,                 3.3639,                 2.5281,                0.07203,                0.23864,                0.11079,                0.02387,                 3.0608,                 3.3238,                 3.3859,             5.5458e-05,             5.5458e-05,             5.5458e-05
                      3,                 2.4833,                 3.2879,                 2.4328,                0.58031,                0.28298,                0.22946,                0.09342,                  1.799,                 4.0716,                    1.5,             8.8587e-05,             8.8587e-05,             8.8587e-05
                      4,                 1.6002,                 2.3497,                 1.3783,                0.39856,                0.66726,                0.47978,                0.19662,                 1.8306,                 3.0941,                 1.5049,             0.00012161,             0.00012161,             0.00012161
                      5,                 1.3821,                 1.7011,                 1.2118,                0.33894,                 0.8314,                0.52941,                0.24201,                 1.7606,                  3.502,                 1.4732,             0.00015451,             0.00015451,             0.00015451
                      6,                 1.2587,                 1.3797,                 1.1505,                0.76411,                0.73394,                0.83057,                0.39889,                 1.6382,                  2.852,                  1.412,             0.00018731,             0.00018731,             0.00018731
                      7,                 1.3267,                 1.3353,                  1.175,                0.54314,                0.88594,                0.83859,                0.45934,                 1.4918,                 2.0695,                 1.3197,                0.00022,                0.00022,                0.00022
                      8,                 1.2791,                 1.0551,                 1.1457,                0.78942,                0.81398,                0.95651,                0.52662,                 1.5878,                  2.073,                 1.4471,             0.00025258,             0.00025258,             0.00025258
                      9,                 1.1964,                 1.0108,                  1.106,                0.63116,                0.86605,                 0.6703,                0.43088,                 1.3339,                 2.0718,                 1.2496,             0.00028505,             0.00028505,             0.00028505
                     10,                 1.3156,                 1.0256,                 1.1266,                0.55075,                0.86933,                0.65334,                0.43056,                 1.2787,                 2.4832,                 1.2022,             0.00031741,             0.00031741,             0.00031741
                     11,                 1.2662,                0.89908,                 1.1551,                0.74231,                0.87512,                0.89578,                0.55682,                 1.5015,                 2.0847,                 1.3224,             0.00034965,             0.00034965,             0.00034965
                     12,                 1.2239,                0.84558,                 1.1499,                0.85713,                0.95189,                  0.988,                0.59083,                 1.5702,                 1.6229,                 1.4382,             0.00038179,             0.00038179,             0.00038179
                     13,                 1.3221,                  0.937,                 1.1673,                0.92865,                0.96018,                0.96419,                0.57931,                 1.5295,                 1.1562,                 1.3961,             0.00041382,             0.00041382,             0.00041382
                     14,                 1.2848,                0.78889,                 1.1343,                0.96869,                0.94545,                 0.9905,                0.66802,                 1.2508,                0.91416,                  1.161,             0.00044574,             0.00044574,             0.00044574
                     15,                 1.4219,                0.97902,                 1.2057,                0.89789,                 0.9838,                 0.9905,                0.68388,                 1.1684,                0.86442,                 1.1124,             0.00047755,             0.00047755,             0.00047755
                     16,                 1.2506,                0.76713,                 1.1244,                 0.9222,                0.94341,                  0.995,                0.60377,                 1.4729,                0.94799,                 1.3603,             0.00050925,             0.00050925,             0.00050925
                     17,                 1.3555,                0.97664,                 1.2453,                0.81268,                0.88774,                0.96352,                0.58774,                 1.4927,                 1.1312,                 1.3147,             0.00054083,             0.00054083,             0.00054083
                     18,                  1.284,                0.83715,                  1.143,                0.71779,                0.87213,                0.95139,                0.56197,                 1.4842,                 1.4732,                  1.307,             0.00057231,             0.00057231,             0.00057231
                     19,                 1.3508,                0.91053,                  1.236,                0.82041,                 0.8612,                0.96375,                 0.6283,                 1.3299,                 1.3814,                 1.2411,             0.00060368,             0.00060368,             0.00060368
                     20,                 1.3509,                0.81381,                  1.174,                0.84603,                0.84442,                0.89332,                0.59821,                 1.3787,                 1.2386,                 1.2815,             0.00063494,             0.00063494,             0.00063494
                     21,                 1.2397,                0.81023,                 1.1407,                0.89768,                0.71951,                0.95824,                0.63774,                 1.3551,                 1.3508,                 1.2803,             0.00066609,             0.00066609,             0.00066609
                     22,                 1.2763,                0.71447,                 1.1392,                0.80314,                0.79052,                0.93491,                0.61366,                 1.3184,                  1.256,                 1.2431,             0.00069713,             0.00069713,             0.00069713
                     23,                 1.2153,                0.74342,                 1.1526,                0.64697,                0.69271,                0.79575,                0.50848,                 1.3112,                 1.4516,                 1.2304,             0.00072806,             0.00072806,             0.00072806
                     24,                 1.2093,                0.75784,                 1.1546,                0.83486,                0.63416,                0.79359,                0.51921,                 1.2522,                 1.3301,                 1.2234,             0.00075887,             0.00075887,             0.00075887
                     25,                 1.2298,                0.64969,                 1.1057,                0.75273,                0.61806,                0.77122,                0.46466,                 1.4958,                 1.7002,                 1.4162,             0.00078958,             0.00078958,             0.00078958
                     26,                 1.2076,                0.67144,                  1.083,                0.86506,                0.59152,                0.77578,                0.46089,                 1.5428,                 1.6575,                 1.4413,             0.00082018,             0.00082018,             0.00082018
                     27,                 1.2349,                0.73879,                 1.1174,                0.83806,                0.67267,                0.77797,                0.51013,                 1.3474,                 1.6461,                 1.3044,             0.00085067,             0.00085067,             0.00085067
                     28,                 1.2081,                0.76484,                 1.1058,                0.96184,                0.72187,                0.86756,                0.54846,                 1.3664,                0.98483,                 1.3048,             0.00088105,             0.00088105,             0.00088105
                     29,                 1.1478,                0.67681,                 1.0684,                0.96184,                0.72187,                0.86756,                0.54846,                 1.3664,                0.98483,                 1.3048,             0.00091132,             0.00091132,             0.00091132
                     30,                 1.1627,                0.69511,                 1.0795,                0.86623,                0.68267,                0.79714,                0.39259,                 1.9547,                 1.4409,                 1.8708,             0.00094148,             0.00094148,             0.00094148
                     31,                 1.2444,                0.75898,                 1.1372,                0.58012,                0.67168,                0.72332,                0.35232,                 1.8615,                 1.7703,                 1.7689,             0.00097153,             0.00097153,             0.00097153
                     32,                 1.3154,                0.77664,                 1.2314,                0.76435,                0.68791,                0.71556,                0.45051,                 1.5793,                 4.1462,                 1.8491,              0.0010015,              0.0010015,              0.0010015
                     33,                 1.3254,                 0.8564,                 1.1316,                0.76435,                0.68791,                0.71556,                0.45051,                 1.5793,                 4.1462,                 1.8491,              0.0010313,              0.0010313,              0.0010313
                     34,                 1.3509,                0.82153,                 1.1872,                0.66439,                0.63174,                0.67948,                0.42787,                 1.4896,                  2.219,                  1.577,              0.0010505,              0.0010505,              0.0010505
