                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6673,                 3.3626,                 2.5132,                0.26794,                0.21201,                0.10408,                0.02224,                 3.0609,                 3.2539,                 3.3472,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 2.5337,                 3.3639,                 2.5281,                0.07203,                0.23864,                0.11079,                0.02387,                 3.0608,                 3.3238,                 3.3859,             5.5471e-05,             5.5471e-05,             5.5471e-05
                      3,                 2.4832,                 3.2872,                  2.433,                0.61417,                0.29698,                0.27279,                0.10205,                 1.8299,                 4.0494,                 1.4992,             8.8629e-05,             8.8629e-05,             8.8629e-05
                      4,                 1.5971,                 2.3673,                 1.3691,                0.47102,                0.64071,                0.47956,                0.18709,                 1.8152,                 2.9819,                 1.4674,             0.00012169,             0.00012169,             0.00012169
                      5,                  1.388,                 1.6605,                 1.2235,                0.49205,                0.71828,                0.61385,                0.29404,                 1.8361,                 2.9432,                 1.5442,             0.00015466,             0.00015466,             0.00015466
                      6,                 1.2397,                 1.3567,                 1.1499,                0.56919,                0.89625,                0.85431,                0.36079,                 1.8084,                 3.1285,                 1.5605,             0.00018753,             0.00018753,             0.00018753
                      7,                 1.2948,                   1.26,                  1.163,                0.62473,                0.95399,                0.94727,                0.46522,                 1.7551,                 2.7351,                  1.541,             0.00022031,             0.00022031,             0.00022031
                      8,                 1.2443,                 1.0675,                 1.1439,                 0.6633,                0.85061,                0.96786,                0.44949,                  1.886,                 2.5971,                 1.7644,               0.000253,               0.000253,               0.000253
                      9,                 1.1816,                 1.0081,                 1.1134,                0.89816,                0.83619,                0.90728,                 0.5312,                 1.5792,                 1.5861,                 1.4522,             0.00028559,             0.00028559,             0.00028559
                     10,                 1.3259,                 1.1654,                 1.1448,                0.82716,                0.85537,                0.90798,                0.52081,                 1.5964,                 1.5459,                 1.4099,             0.00031809,             0.00031809,             0.00031809
                     11,                 1.2503,                0.96814,                 1.1417,                0.96719,                 0.9581,                0.97932,                0.54465,                 1.6742,                 1.5292,                 1.4383,             0.00035049,             0.00035049,             0.00035049
                     12,                 1.2091,                0.99771,                  1.137,                0.78715,                0.95606,                0.86549,                0.46786,                 1.7587,                 1.7597,                 1.5566,              0.0003828,              0.0003828,              0.0003828
                     13,                  1.308,                 1.0116,                 1.1608,                0.67212,                0.91754,                0.81394,                0.45997,                   1.74,                 2.6394,                 1.5413,             0.00041502,             0.00041502,             0.00041502
                     14,                  1.262,                0.77797,                 1.1216,                0.76959,                0.98667,                0.91057,                 0.5971,                 1.3497,                 1.9771,                 1.2226,             0.00044714,             0.00044714,             0.00044714
                     15,                 1.3962,                0.94284,                 1.1913,                0.80334,                0.94788,                0.90334,                0.62074,                 1.2207,                 1.4515,                 1.1462,             0.00047916,             0.00047916,             0.00047916
                     16,                 1.2856,                0.80468,                 1.1404,                0.78965,                0.92928,                0.89006,                 0.5133,                  1.554,                 1.6825,                 1.3857,             0.00051109,             0.00051109,             0.00051109
                     17,                 1.3483,                0.85961,                 1.2399,                0.69297,                0.86479,                0.84363,                0.50887,                 1.5213,                 2.1623,                 1.3335,             0.00054293,             0.00054293,             0.00054293
                     18,                 1.2848,                0.88854,                 1.1327,                 0.9013,                0.96962,                0.99265,                 0.6051,                 1.4573,                 1.2486,                 1.3079,             0.00057467,             0.00057467,             0.00057467
                     19,                 1.2351,                0.76913,                  1.179,                0.96504,                0.95403,                0.99223,                 0.5751,                 1.5188,                 1.0381,                 1.3759,             0.00060632,             0.00060632,             0.00060632
                     20,                 1.2063,                0.72898,                 1.1196,                0.92011,                0.93955,                0.97145,                0.55923,                 1.5522,                0.93968,                 1.4208,             0.00063788,             0.00063788,             0.00063788
                     21,                  1.229,                0.71678,                 1.1405,                0.87499,                0.86735,                0.91818,                0.56602,                 1.4023,                 1.0348,                 1.2926,             0.00066934,             0.00066934,             0.00066934
                     22,                 1.1579,                0.68585,                 1.1026,                0.97619,                 0.9439,                  0.995,                0.71034,                 1.0886,                0.84977,                 1.1136,              0.0007007,              0.0007007,              0.0007007
                     23,                 1.2773,                0.72902,                 1.1725,                0.55625,                0.78422,                 0.5515,                0.34105,                 1.3451,                 5.5713,                 1.2977,             0.00073197,             0.00073197,             0.00073197
                     24,                 1.2089,                0.76487,                 1.1613,                 0.6316,                0.89353,                0.61512,                0.37744,                 1.4699,                 9.7593,                 1.4508,             0.00076315,             0.00076315,             0.00076315
