                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8352,                 3.2507,                 1.5491,                0.09267,                0.26071,                0.10676,                0.05167,                 1.8831,                 3.1506,                 1.5485,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 1.8143,                 3.3229,                 1.5469,                0.08381,                 0.2051,                  0.105,                0.05061,                 1.8785,                 3.1721,                 1.5443,             5.5367e-05,             5.5367e-05,             5.5367e-05
                      3,                 1.4312,                 2.7685,                 1.2997,                0.38474,                0.57261,                0.30056,                0.19701,                 1.2253,                 2.4233,                 1.0567,             8.8293e-05,             8.8293e-05,             8.8293e-05
                      4,                0.99331,                  1.785,                 1.0199,                0.38309,                 0.7403,                0.47473,                0.33035,                 1.1219,                 1.9493,                 1.0362,               0.000121,               0.000121,               0.000121
                      5,                0.98646,                  1.404,                 1.0048,                0.46506,                0.87883,                0.62699,                0.44306,                 1.0402,                 2.9745,                 1.0454,             0.00015349,             0.00015349,             0.00015349
                      6,                0.84165,                 1.1026,                0.95592,                0.51577,                0.76253,                0.60172,                0.45257,                0.94715,                 2.9815,                0.99677,             0.00018575,             0.00018575,             0.00018575
                      7,                0.83076,                0.96542,                0.97671,                0.44819,                0.79713,                0.64706,                0.49495,                0.91799,                 2.1097,                0.96606,              0.0002178,              0.0002178,              0.0002178
                      8,                0.80617,                0.92271,                0.94486,                0.45912,                0.87608,                0.70798,                0.54113,                0.93604,                 2.4637,                0.98096,             0.00024963,             0.00024963,             0.00024963
                      9,                0.78661,                0.77299,                0.95705,                0.62202,                0.71661,                0.65514,                0.51959,                0.83597,                  2.671,                0.95089,             0.00028123,             0.00028123,             0.00028123
                     10,                0.84182,                0.78326,                0.95231,                0.82911,                0.70503,                0.71483,                0.54973,                0.92111,                 1.6408,                0.98468,             0.00031262,             0.00031262,             0.00031262
                     11,                0.89223,                0.83616,                0.97802,                0.78149,                0.71879,                 0.8264,                0.66585,                0.81376,                 2.1196,                0.93317,             0.00034379,             0.00034379,             0.00034379
                     12,                 0.8502,                0.73911,                 0.9553,                0.60709,                0.88979,                0.90253,                0.71723,                0.81297,                 2.4842,                0.92342,             0.00037473,             0.00037473,             0.00037473
                     13,                0.93035,                0.71555,                0.97602,                0.67972,                0.76182,                0.70621,                0.53866,                0.88576,                 3.3684,                0.98321,             0.00040546,             0.00040546,             0.00040546
                     14,                0.84663,                0.72036,                0.96628,                0.66156,                0.72727,                0.53972,                0.41462,                0.92339,                 5.4769,                  1.005,             0.00043597,             0.00043597,             0.00043597
